RestaurantName,url,imge_url
"Boltwood",http://www.yelp.com/biz/boltwood-evanston,http://s3-media1.fl.yelpcdn.com/bphoto/kwSUMWjDCJZV_qDchQkMtw/ms.jpg
"Found Kitchen & Social House",http://www.yelp.com/biz/found-kitchen-and-social-house-evanston,http://s3-media4.fl.yelpcdn.com/bphoto/BAdtPX8ODODmSLGV440_kg/ms.jpg
"Farmhouse Evanston",http://www.yelp.com/biz/farmhouse-evanston-evanston,http://s3-media4.fl.yelpcdn.com/bphoto/vFdlLREM1axC0oVoaqjF5w/ms.jpg
"Soulwich",http://www.yelp.com/biz/soulwich-evanston,http://s3-media3.fl.yelpcdn.com/bphoto/uNH7ahO0EYd-JgHcBaibRQ/ms.jpg
"The Stained Glass",http://www.yelp.com/biz/the-stained-glass-evanston,http://s3-media4.fl.yelpcdn.com/bphoto/uwC-O4g8MWLDmH0o4ep-bA/ms.jpg
"Edzo's Burger Shop",http://www.yelp.com/biz/edzos-burger-shop-evanston,http://s3-media1.fl.yelpcdn.com/bphoto/fjFynb3PT0n6DmQtNzxEVQ/ms.jpg
"527 Cafe",http://www.yelp.com/biz/527-cafe-evanston,http://s3-media1.fl.yelpcdn.com/bphoto/kYJ2xrdExdaqDNdK4bjFuw/ms.jpg
"Campagnola",http://www.yelp.com/biz/campagnola-evanston,http://s3-media4.fl.yelpcdn.com/bphoto/ds7opv24PFGOSFCY3VO0bw/ms.jpg
"Chicken Shack",http://www.yelp.com/biz/chicken-shack-evanston,http://s3-media2.fl.yelpcdn.com/bphoto/TjmIkEOuQ1yvkwrpR5Ow6A/ms.jpg
"Smylie Brothers Brewing Co.",http://www.yelp.com/biz/smylie-brothers-brewing-co-evanston,http://s3-media2.fl.yelpcdn.com/bphoto/2dAONAPAvFZL7GYcjaQG9w/ms.jpg
"Cross-Rhodes",http://www.yelp.com/biz/cross-rhodes-evanston,http://s3-media2.fl.yelpcdn.com/bphoto/F87_mJi4-f0D7wsfmahzLg/ms.jpg
"Joy Yee's Noodle Kitchen",http://www.yelp.com/biz/joy-yees-noodle-kitchen-evanston,http://s3-media1.fl.yelpcdn.com/bphoto/AA3Dy41OjfiSl0ffwRtGeQ/ms.jpg
"Buffalo Joe's",http://www.yelp.com/biz/buffalo-joes-evanston,http://s3-media3.fl.yelpcdn.com/bphoto/F8Q-jc5KshdSojUys5d3zw/ms.jpg
"Tomate Fresh Kitchen",http://www.yelp.com/biz/tomate-fresh-kitchen-evanston,http://s3-media2.fl.yelpcdn.com/bphoto/xnJvJgHXyyV2bp2qsBi2jQ/ms.jpg
"Union Pizzeria",http://www.yelp.com/biz/union-pizzeria-evanston,http://s3-media3.fl.yelpcdn.com/bphoto/B3b3hHtqiQZRr05xdhkEyQ/ms.jpg
"Prairie Moon Restaurant",http://www.yelp.com/biz/prairie-moon-restaurant-evanston,http://s3-media2.fl.yelpcdn.com/bphoto/aRSwhR5zIgQMuqhT6uIXfA/ms.jpg
"Tapas Barcelona",http://www.yelp.com/biz/tapas-barcelona-evanston,http://s3-media4.fl.yelpcdn.com/bphoto/5-sJ7f6UM6HhzsHK7b1AOg/ms.jpg
"Sea Ranch",http://www.yelp.com/biz/sea-ranch-evanston,http://s3-media4.fl.yelpcdn.com/bphoto/nfP5-Trwo14U72AmHOvM1A/ms.jpg
"Mt. Everest Restaurant",http://www.yelp.com/biz/mt-everest-restaurant-evanston,http://s3-media3.fl.yelpcdn.com/bphoto/YYxlMxXzj8DvPntwPfzP_Q/ms.jpg
"Rollin' To Go",http://www.yelp.com/biz/rollin-to-go-evanston-2,http://s3-media1.fl.yelpcdn.com/bphoto/wjlxcJ0ZaDebRKWDyVLbjA/ms.jpg
"Lao Sze Chuan",http://www.yelp.com/biz/lao-sze-chuan-evanston,http://s3-media3.fl.yelpcdn.com/bphoto/MndzY8XDhDITR4m8Trwhdw/ms.jpg
"La Macchina Cafe",http://www.yelp.com/biz/la-macchina-cafe-evanston,http://s3-media4.fl.yelpcdn.com/bphoto/tJP9hAsvD5QQJjRCo-4k2Q/ms.jpg
"Bistro Bordeaux",http://www.yelp.com/biz/bistro-bordeaux-evanston,http://s3-media1.fl.yelpcdn.com/bphoto/O-V2FZn011tQorI9LTMe_w/ms.jpg
"Dave's Italian Kitchen",http://www.yelp.com/biz/daves-italian-kitchen-evanston,http://s3-media3.fl.yelpcdn.com/bphoto/bmY0ZvEF3auDpxC-H6_ikA/ms.jpg
"Greek Fire Grill",http://www.yelp.com/biz/greek-fire-grill-evanston-2,http://s3-media2.fl.yelpcdn.com/bphoto/Ewfgv81hvS-OxW2gBFZ4yQ/ms.jpg
"Fatty's Burgers & More",http://www.yelp.com/biz/fattys-burgers-and-more-evanston-2,http://s3-media4.fl.yelpcdn.com/bphoto/wNsRZMli5WfnfqHgpQuvPw/ms.jpg
"Chef's Station",http://www.yelp.com/biz/chefs-station-evanston,http://s3-media1.fl.yelpcdn.com/bphoto/vcLWZV06FTiFGavFy4z6cQ/ms.jpg
"Creperie Saint Germain",http://www.yelp.com/biz/creperie-saint-germain-evanston,http://s3-media2.fl.yelpcdn.com/bphoto/RbHt0aYir-M0fujU6FCvlw/ms.jpg
"Wiener & Still Champion",http://www.yelp.com/biz/wiener-and-still-champion-evanston,http://s3-media1.fl.yelpcdn.com/bphoto/3F-Y4zQDJo2E6EC0i3MyAQ/ms.jpg
"Cheesie's Pub & Grub",http://www.yelp.com/biz/cheesies-pub-and-grub-evanston,http://s3-media2.fl.yelpcdn.com/bphoto/z24e-hT79BJU42-97re1Xg/ms.jpg
"Davis Street Fishmarket",http://www.yelp.com/biz/davis-street-fishmarket-evanston,http://s3-media1.fl.yelpcdn.com/bphoto/NdyKP8KFE_LIvNi2OcvOyA/ms.jpg
"Todoroki Hibachi and Sushi",http://www.yelp.com/biz/todoroki-hibachi-and-sushi-evanston,http://s3-media2.fl.yelpcdn.com/bphoto/Z5ZnlK1vcJvwfmS9S5KMFQ/ms.jpg
"Le Peep Restaurant",http://www.yelp.com/biz/le-peep-restaurant-evanston,http://s3-media4.fl.yelpcdn.com/bphoto/g5UNgkbhjV3RLb3RKIf9lA/ms.jpg
"SIAM - Paragon Asian Bistro & Sushi Bar",http://www.yelp.com/biz/siam-paragon-asian-bistro-and-sushi-bar-evanston,http://s3-media2.fl.yelpcdn.com/bphoto/6ym7hY10UMxmf59zvGMqyw/ms.jpg
"Cozy Noodles & Rice",http://www.yelp.com/biz/cozy-noodles-and-rice-evanston,http://s3-media2.fl.yelpcdn.com/bphoto/lbHkMnlkk72j6qY6X1Q0qw/ms.jpg
"DMK Burger & Fish",http://www.yelp.com/biz/dmk-burger-and-fish-evanston,http://s3-media3.fl.yelpcdn.com/bphoto/lTS-09RNbTTrJqwWj2yDPw/ms.jpg
"Hecky's Barbecue",http://www.yelp.com/biz/heckys-barbecue-evanston,http://s3-media3.fl.yelpcdn.com/bphoto/UQ5B6TK1y_rrzxNBRXNOCg/ms.jpg
"Firehouse Grill",http://www.yelp.com/biz/firehouse-grill-evanston-2,http://s3-media1.fl.yelpcdn.com/bphoto/68mkFJhYgEVpi-QqMKgg0A/ms.jpg
"Wings Over Evanston",http://www.yelp.com/biz/wings-over-evanston-evanston,http://s3-media3.fl.yelpcdn.com/bphoto/rg7i0xv2DToujnFN4LxTXQ/ms.jpg
"Noodles & Company",http://www.yelp.com/biz/noodles-and-company-evanston-2,http://s3-media1.fl.yelpcdn.com/bphoto/uxf1Ybk9E6tnrDEB2c_jxQ/ms.jpg
"Clarke's",http://www.yelp.com/biz/clarkes-evanston,http://s3-media2.fl.yelpcdn.com/bphoto/lyE_mSbc46v-1E8TBlnQ8g/ms.jpg
"Gigio's Pizzeria",http://www.yelp.com/biz/gigios-pizzeria-evanston-3,http://s3-media4.fl.yelpcdn.com/bphoto/HKbtjuRQ5SeioLrHAdn0uA/ms.jpg
"Kansaku",http://www.yelp.com/biz/kansaku-evanston,http://s3-media3.fl.yelpcdn.com/bphoto/s2Arj4vGpE-5IfSAX5i1Cw/ms.jpg
"Trattoria D.O.C.",http://www.yelp.com/biz/trattoria-d-o-c-evanston,http://s3-media2.fl.yelpcdn.com/bphoto/Ybb5pND93PieVG7Myns7tA/ms.jpg
"Bravo Cucina Italiana",http://www.yelp.com/biz/bravo-cucina-italiana-evanston,http://s3-media4.fl.yelpcdn.com/bphoto/oWEL7atLO_X3tK3Yco2P_A/ms.jpg
"Pete Miller's Seafood & Prime Steak",http://www.yelp.com/biz/pete-millers-seafood-and-prime-steak-evanston,http://s3-media1.fl.yelpcdn.com/bphoto/l_d7MviaSBCtpP-KzbjftA/ms.jpg
"Dozika",http://www.yelp.com/biz/dozika-evanston-2,http://s3-media1.fl.yelpcdn.com/bphoto/_tcBIvw23xvZlvxGJDFHQw/ms.jpg
"Zoba Noodle Bar",http://www.yelp.com/biz/zoba-noodle-bar-evanston,http://s3-media2.fl.yelpcdn.com/bphoto/Qmke6Oe2EdtOP1ddRZBcDQ/ms.jpg
"Giordano's",http://www.yelp.com/biz/giordanos-evanston-2,http://s3-media2.fl.yelpcdn.com/bphoto/5KSYx2FDTnW_vFnaMGaqoQ/ms.jpg
"Terra an American Bistro",http://www.yelp.com/biz/terra-an-american-bistro-evanston,http://s3-media2.fl.yelpcdn.com/bphoto/9_4m2pmzeqzGPNsZte0jiQ/ms.jpg
"Blind Faith Café",http://www.yelp.com/biz/blind-faith-caf%C3%A9-evanston-2,http://s3-media1.fl.yelpcdn.com/bphoto/vOefwKyaaUicy6EmVyEyuw/ms.jpg
"Panino's Pizza",http://www.yelp.com/biz/paninos-pizza-evanston,http://s3-media1.fl.yelpcdn.com/bphoto/SrOT0TMBvWAezXmgLjvJOw/ms.jpg
"JT's Bar and Grill",http://www.yelp.com/biz/jts-bar-and-grill-evanston,http://s3-media4.fl.yelpcdn.com/bphoto/l4eGrxVeiJOF-SWPRTe01g/ms.jpg
"Just Turkey",http://www.yelp.com/biz/just-turkey-evanston,http://s3-media2.fl.yelpcdn.com/bphoto/vKq7nQ7z0MaCmIMEIi30Ow/ms.jpg
"Siam Pasta",http://www.yelp.com/biz/siam-pasta-evanston,http://s3-media3.fl.yelpcdn.com/bphoto/VXyu9L-sWp5yTRjez7p_jA/ms.jpg
"Badou Senegalese Cuisine",http://www.yelp.com/biz/badou-senegalese-cuisine-chicago,http://s3-media3.fl.yelpcdn.com/bphoto/wLIs6_j5cN8ewlR2zw-C8A/ms.jpg
"Bar Louie Evanston",http://www.yelp.com/biz/bar-louie-evanston-evanston-2,http://s3-media1.fl.yelpcdn.com/bphoto/HErAJ3rxXYZp5Vfuw5j8aA/ms.jpg
"Little Wok",http://www.yelp.com/biz/little-wok-evanston,http://s3-media3.fl.yelpcdn.com/bphoto/6K9LvhYdzzObFiWzprP9Rw/ms.jpg
"Prairie Joes",http://www.yelp.com/biz/prairie-joes-evanston,http://s3-media3.fl.yelpcdn.com/bphoto/JGhQDFhadQNZsnbZwrOp2Q/ms.jpg
